imdbID,Title,Actors,Genre,Country,Language,Production,Rated,Runtime,Year,imdbRating,Responsibility,popularity2,rating,totalVotes,budget2
tt0056255,Mr. Hobbs Takes a Vacation, Lauri Peters,Comedy,USA,English,20th Century Fox,APPROVED,116,1962,6.9,Screenplay,4.814,6.7,32,4000000
tt0451079,Horton Hears a Who!, Will Arnett,Animation,USA,English,20th Century Fox,G,86,2008,6.8,Screenplay,11.009,6.3,1704,297138014
tt2357291,Rio 2, Jemaine Clement,Animation,USA,English,20th Century Fox,G,101,2014,6.3,Screenplay,14.261,6.3,1763,500188435
tt1392197,Marmaduke, Christopher Mintz-Plasse,Comedy,USA,English,20th Century Fox,PG,87,2010,4.2,Comic,10.858,5.1,355,83761844
tt1067774,Monte Carlo, Cory Monteith,Adventure,USA,English,20th Century Fox,PG,109,2011,5.8,Screenplay,10.324,6.2,1171,39667665
tt1762399,Walking with Dinosaurs 3D, John Leguizamo,Animation,"USA,UK,Australia",English,20th Century Fox,PG,87,2013,5.2,Screenplay,10.772,5.5,205,126546518
tt0438097,Ice Age: The Meltdown, Seann William Scott,Animation,USA,English,20th Century Fox,PG,91,2006,6.8,Screenplay,17.425,6.6,5678,660940780
tt0434215,Flicka, Ryan Kwanten,Adventure,"USA,UK",English,20th Century Fox,PG,95,2006,6.2,Screenplay,6.65,6.5,121,21000000
tt1053810,The Big Year, Stacey Scowley,Comedy,USA,English,20th Century Fox,PG,100,2011,6.2,Screenplay,26.05,5.8,383,7448385
tt2692250,Night at the Museum: Secret of the Tomb, Steve Coogan,Adventure,"UK,USA",English,20th Century Fox,PG,98,2014,6.2,Screenplay,23.12,6.2,3467,349424282
tt0121765,Star Wars: Episode II - Attack of the Clones, Christopher Lee,Action,USA,English,20th Century Fox,PG,142,2002,6.6,Screenplay,19.262,6.5,7072,649398328
tt1027718,Wall Street: Money Never Sleeps, Carey Mulligan,Drama,USA,English,20th Century Fox,PG-13,133,2010,6.2,characters,8.861,6,785,134748021
tt0421729,Big Momma's House 2, Zachary Levi,Comedy,USA,English,20th Century Fox,PG-13,99,2006,4.6,characters,27.92,5.6,777,138259062
tt2726560,The Longest Ride, Jack Huston,Drama,USA,English,20th Century Fox,PG-13,123,2015,7.1,Novel,19.363,7.5,1870,63013281
tt2226597,The Mountain Between Us, Dermot Mulroney,Action,USA,English,20th Century Fox,PG-13,112,2017,6.4,Novel,10.353,6.5,1211,62832209
tt0133152,Planet of the Apes, Michael Clarke Duncan,Action,USA,English,20th Century Fox,PG-13,119,2001,5.7,Novel,12.796,5.7,2127,362211740
tt0311113,Master and Commander: The Far Side of the World, Edward Woodall,Action,USA,"English,French",20th Century Fox,PG-13,138,2003,7.4,Novel,19.163,7.1,1453,212011111
tt0117509,Romeo + Juliet, Harold Perrineau,Drama,USA,English,20th Century Fox,PG-13,120,1996,6.8,play,12.142,6.8,2672,147298761
tt0230030,Bedazzled, Miriam Shor,Comedy,"USA,Germany","English,Spanish",20th Century Fox,PG-13,93,2000,6,Screenplay,10.534,5.8,850,90383208
tt0316732,Taxi, Jennifer Esposito,Action,"USA,France","English,Spanish",20th Century Fox,PG-13,97,2004,4.4,Screenplay,31.617,4.9,433,36609966
tt2582846,The Fault in Our Stars, Laura Dern,Drama,USA,English,20th Century Fox,PG-13,126,2014,7.8,Screenplay,15.497,7.6,7120,307166834
tt0462538,The Simpsons Movie, Yeardley Smith,Animation,USA,English,20th Century Fox,PG-13,87,2007,7.4,Screenplay,14.193,6.9,4458,527068851
tt1430132,The Wolverine, Hiroyuki Sanada,Action,"USA,UK,Australia,Japan","English,Japanese",20th Century Fox,PG-13,126,2013,6.7,Screenplay,4.242,6.3,6070,415440673
tt0287978,Daredevil, Michael Clarke Duncan,Action,USA,"English,Italian",20th Century Fox,PG-13,103,2003,5.3,Screenplay,13.191,5.1,2788,179179718
tt0467197,Max Payne, Ludacris,Action,"Canada,USA",English,20th Century Fox,PG-13,100,2008,5.4,Screenplay,11.095,5.2,1014,85416905
tt0489099,Jumper, Diane Lane,Action,"USA,Canada","English,Italian,Japanese,Mandarin",20th Century Fox,PG-13,88,2008,6.1,Screenplay,11.525,6,3129,222231186
tt1270798,X-Men: First Class, Bill Milner,Action,"USA,UK","English,German,French,Spanish",20th Century Fox,PG-13,131,2011,7.8,Screenplay,1.029,7.2,8060,353624124
tt3659388,The Martian, Jeff Daniels,Adventure,"UK,USA","English,Mandarin",20th Century Fox,PG-13,144,2015,8,Screenplay,26.137,7.7,12011,630161890
tt1974420,Rules Don't Apply, Ivar Brogger,Comedy,USA,English,20th Century Fox,PG-13,127,2016,5.7,Screenplay,7.993,5.9,240,3885342
tt1628841,Independence Day: Resurgence, Bill Pullman,Action,USA,"English,Mandarin",20th Century Fox,PG-13,120,2016,5.2,Screenplay,16.373,5.1,3853,389681935
tt1877832,X-Men: Days of Future Past, Jennifer Lawrence,Action,"USA,UK,Canada","English,French",20th Century Fox,PG-13,132,2014,8,Screenplay,33.764,7.5,9883,747862775
tt0303933,Drumline, Leonard Roberts,Comedy,USA,English,20th Century Fox,PG-13,118,2002,5.7,story,7.949,6.2,169,57588485
tt0118589,Glitter, Tia Texada,Drama,USA,English,20th Century Fox,PG-13,104,2001,2.2,story,2.375,3.7,57,5271666
tt1606378,A Good Day to Die Hard, Mary Elizabeth Winstead,Action,USA,"English,Russian,Hindi",20th Century Fox,R,98,2013,5.3,characters,14.811,5.2,4393,304654182
tt1424381,Predators, Walton Goggins,Action,USA,"English,Spanish",20th Century Fox,R,107,2010,6.4,characters,16.367,6,1938,126248813
tt0250797,Unfaithful, Olivier Martinez,Drama,"USA,Germany,France","English,French",20th Century Fox,R,124,2002,6.7,Movie,11.104,6.4,526,119137784
tt0120681,From Hell, Robbie Coltrane,Horror,USA,English,20th Century Fox,R,122,2001,6.8,Novel,11.258,6.6,1408,74558115
tt0119223,Great Expectations, Chris Cooper,Drama,USA,"English,French",20th Century Fox,R,111,1998,6.8,Novel,24.995,6.6,244,55494066
tt0099423,Die Hard 2, Reginald VelJohnson,Action,USA,"English,Spanish",20th Century Fox,R,124,1990,7.1,Novel,12.723,6.8,2926,240031094
tt0137523,Fight Club, Zach Grenier,Drama,"USA,Germany",English,20th Century Fox,R,139,1999,8.8,Novel,27.603,8.4,16043,100853753
tt0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan, Chester,Comedy,"USA,UK",English,20th Century Fox,R,84,2006,7.3,Screenplay,15.606,6.6,2566,261572744
tt2305051,Wild, Keene McRae,Adventure,USA,English,20th Century Fox,R,115,2014,7.1,Screenplay,10.702,7,1438,52501541
tt0265208,The Girl Next Door, James Remar,Comedy,USA,English,20th Century Fox,R,109,2004,6.7,story,16.258,6.4,1475,31635150
tt3416744,The End of the Tour, Jason Segel,Biography,USA,English,A24 Films,R,106,2015,7.3,Screenplay,6.466,7.1,319,3002884
tt1124039,Echelon Conspiracy, Jonathan Pryce,Action,USA,English,AfterDark Films,PG-13,105,2009,5.8,Screenplay,7.285,5.5,160,2186782
tt0079227,Good Guys Wear Black, Lloyd Haynes,Action,USA,English,American Cinema,PG,95,1978,5,Screenplay,2.899,5.9,24,18300000
tt0094701,Bad Dreams, Dean Cameron,Horror,USA,English,Anchor Bay Entertainment,R,80,1988,5.6,story,3.76,5.5,43,9797098
tt2631186,Baahubali: The Beginning, Tamannaah Bhatia,Action,India,Hindi,Arka Media Works,NOT RATED,159,2015,8.2,story,7.043,7.3,226,100000000
tt0138704,Pi, Pamela Hart,Drama,USA,English,Artisan,R,84,1998,7.4,story,13.732,7.1,1075,3221152
tt0151582,The Minus Man, Dennis Haysbert,Crime,USA,English,Artisan Entertainment,R,111,1999,6.2,Novel,3.068,6.2,30,370668
tt0164181,Stir of Echoes, Illeana Douglas,Horror,USA,English,Artisan Entertainment,R,99,1999,7,Novel,8.925,6.6,551,21133087
tt2800038,Atlas Shrugged: Who Is John Galt?, Greg Germann,Drama,USA,English,Atlas Distribution,PG-13,99,2014,4.4,Screenplay,2.958,3.6,30,846704
tt1727770,Absolutely Anything, Rob Riggle,Comedy,"UK,USA","English,French",Atlas Distribution,R,85,2015,6,Screenplay,7.868,5.7,680,7200039
tt0169102,Lagaan: Once Upon a Time in India, Paul Blackthorne,Adventure,India,"Hindi,English",B4U Entertainment,PG,224,2001,8.2,story,7.345,7.4,230,8100000
tt1179933,10 Cloverfield Lane, Douglas M. Griffin,Drama,USA,English,Bad Robot Productions,PG-13,103,2016,7.2,Screenplay,15.029,6.9,4555,108286421
tt1334470,Raavan, Vikram,Action,India,Hindi,Big Cinemas,NOT RATED,130,2010,5.4,Screenplay,2.157,4.3,19,4200000
tt3203606,Trumbo, John Getz,Biography,USA,English,Bleecker Street Media,R,124,2015,7.5,Book,7.744,7.2,867,8235661
tt3411444,Ferdinand, Colin H. Murphy,Animation,USA,English,Blue Sky Studio/20th Century Fox,PG,108,2017,6.7,Book,14.004,7.1,1394,294764262
tt1178665,A Walk in the Woods, Mary Steenburgen,Adventure,USA,English,Broad Green Pictures,R,104,2015,6.3,Screenplay,6.316,5.9,395,35991087
tt0101414,Beauty and the Beast, Angela Lansbury,Animation,USA,"English,French",Buena Vista,G,84,1991,8,Animation,23.184,7.7,5607,377350553
tt0117110,Muppet Treasure Island, Kevin Bishop,Action,USA,English,Buena Vista,G,99,1996,6.9,Novel,8.037,6.4,160,34327391
tt0317219,Cars, Larry the Cable Guy,Animation,USA,"English,Italian,Japanese",Buena Vista,G,117,2006,7.2,Original story ,72.09,6.7,7360,461983149
tt0361089,Valiant, Jim Broadbent,Animation,"UK,USA",English,Buena Vista,G,76,2005,5.6,story,9.633,5.3,436,61746888
tt0116250,Evita, Jimmy Nail,Biography,USA,English,Buena Vista,PG,135,1996,6.3,Book,6.524,6.2,224,141047179
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe", Anna Popplewell,Adventure,"USA,UK","English,German",Buena Vista,PG,143,2005,6.9,Screenplay,21.776,7,5621,745013115
tt0492956,The Game Plan, Roselyn Sanchez,Comedy,USA,English,Buena Vista,PG,110,2007,6.2,Screenplay,8.806,6.2,940,147880543
tt0467110,Underdog, Patrick Warburton,Action,USA,English,Buena Vista,PG,84,2007,4.8,Screenplay,11.53,4.8,322,65270477
tt0110123,In the Army Now, David Alan Grier,Comedy,USA,English,Buena Vista,PG,91,1994,4.8,story,7.923,4.7,95,28881266
tt0190590,"O Brother, Where Art Thou?", John Goodman,Adventure,"UK,France,USA",English,Buena Vista,PG-13,107,2000,7.8,Poem,13.085,7.3,1931,71868327
tt0120591,Armageddon, Liv Tyler,Action,USA,English,Buena Vista,PG-13,151,1998,6.6,Screenplay,17.987,6.6,4199,553799566
tt0020960,Hell's Angels, John Darrow,Drama,USA,"English,German,French",Caddo,PASSED,127,1930,7.8,story,3.69,6.6,30,8000000
tt0091757,Pirates, Olu Jacobs,Adventure,France,"English,French,Spanish",Cannon Film Distributors,PG-13,121,1986,6.1,Adaptation,5.74,6.3,85,1641825
tt3508840,The Assassin, Satoshi Tsumabuki,Action,"China,France","Mandarin,French",Central Motion Pictures Corporation,NOT RATED,105,2015,6.3,Screenplay,7.338,6.4,228,632542
tt3203620,The Dinner, Charlie Plummer,Crime,USA,English,Chubbco Film Co.,R,120,2017,4.5,Novel,6.371,4.2,147,2492001
tt0047478,Seven Samurai, Yukiko Shimazaki,Adventure,Japan,Japanese,Columbia Pictures,NOT RATED,207,1954,8.7,Screenplay,17.379,8.4,1452,271841
tt0243585,Stuart Little 2, Jonathan Lipnicki,Animation,USA,English,Columbia Pictures,PG,77,2002,5.4,Book,11.742,5.6,1255,169956806
tt1222817,Zookeeper, Ken Jeong,Comedy,USA,English,Columbia Pictures,PG,102,2011,5.2,Screenplay,13.437,5.3,867,169852759
tt0257076,S.W.A.T., LL Cool J,Action,USA,"English,Spanish,French",Columbia Pictures,PG-13,117,2003,6,characters,13.289,5.9,1217,116643346
tt0145487,Spider-Man, James Franco,Action,USA,English,Columbia Pictures,PG-13,121,2002,7.3,Comic,23.412,7,9628,821708551
tt2283362,Jumanji: Welcome to the Jungle, Karen Gillan,Action,USA,English,Columbia Pictures,PG-13,119,2017,7.2,Screenplay,20.743,6.7,7087,962119864
tt0280590,Mr. Deeds, Allen Covert,Comedy,USA,English,Columbia Pictures,PG-13,96,2002,5.8,Screenplay,11.774,5.7,1144,171269535
tt0255798,The Animal, Edward Asner,Comedy,USA,English,Columbia Pictures,PG-13,84,2001,4.8,story,8.25,4.6,562,84772742
tt0190865,Vertical Limit, Augie Davis,Action,"USA,Germany",English,Columbia Pictures,PG-13,124,2000,5.9,story,13.14,5.9,468,215663859
tt0061809,In Cold Blood, Paul Stewart,Biography,USA,English,Columbia Pictures,R,134,1967,8,Book,5.208,7.8,137,13007551
tt0067328,The Last Picture Show, Ben Johnson,Drama,USA,English,Columbia Pictures,R,118,1971,8.1,Screenplay,18.703,7.8,238,29133000
tt0838283,Step Brothers, Richard Jenkins,Comedy,USA,"English,Spanish",Columbia Pictures,R,98,2008,6.9,Screenplay,11.435,6.5,1698,128107642
tt0076299,The Last Wave, Frederick Parslow,Drama,Australia,"English,Italian",Cowboy Pictures,PG,106,1977,7.2,Screenplay,2.859,6.9,60,1258000
tt0108148,Iron Monkey, Sze-Man Tsang,Action,China,Mandarin,Dimension Films,PG-13,85,1993,7.6,Adaptation,11.583,7.6,125,14681661
tt0259484,Paid in Full, Esai Morales,Action,USA,English,Dimension Films,R,97,2002,7.1,Screenplay,6.303,6.9,95,3090862
tt0116367,From Dusk Till Dawn, Juliette Lewis,Action,USA,"English,Spanish",Dimension Films,R,108,1996,7.3,story,16.928,7,2942,25836616
tt0119137,Flubber, Ted Levine,Comedy,USA,English,Disney,PG,93,1997,5.2,Screenplay,12.304,5.5,1230,177977226
tt0478970,Ant-Man, Corey Stoll,Action,USA,English,Disney/Marvel,PG-13,117,2015,7.3,Screenplay,39.651,7.1,11664,519311965
tt0212720,A.I. Artificial Intelligence, Jake Thomas,Adventure,USA,English,Dreamworks,PG-13,146,2001,7.1,Screenplay,15.987,7,3443,235926552
tt1776196,Fullmetal Alchemist: The Sacred Star of Milos, Matthew Mercer,Animation,Japan,Japanese,Eleven Arts,NOT RATED,110,2011,7.1,Adaptation,6.737,6.8,98,7401480
tt0923811,Evangelion: 1.0 You Are (Not) Alone, Yuriko Yamaguchi,Animation,Japan,Japanese,Eleven Arts,PG-13,98,2007,7.8,Screenplay,10.02,7.6,224,223839
tt0077413,Death on the Nile, Bette Davis,Crime,UK,"English,French,German",EMI Films Ltd.,PG,140,1978,7.3,Screenplay,9.787,7,240,14560084
tt0086374,Strange Invaders, Michael Lerner,Horror,USA,English,EMI Productions,PG,92,1983,5.5,Screenplay,2.75,5,27,1362303
tt2224317,Lootera, Adil Hussain,Drama,India,Hindi,Eros,NOT RATED,136,2013,7.3,Screenplay,2.544,6.8,40,5100000
tt2178470,Yeh Jawaani Hai Deewani, Kalki Koechlin,Comedy,India,"Hindi,English",Eros International,NOT RATED,160,2013,7,Movie,5.75,7.4,125,46000000
tt2635622,The Attacks of 26/11, Ferzad Jehani,Action,India,Hindi,Eros International,NOT RATED,116,2013,6.9,Movie,2.45,6.8,15,18000000
tt0088678,The Adventures of Mark Twain, Chris Ritchie,Animation,USA,English,Eureka Entertainment Ltd,G,86,1985,7.5,Screenplay,2.257,6.8,33,849915
tt0250371,The Other Side of Heaven, Nathaniel Lees,Adventure,USA,English,Excel Entertainmen,PG,113,2001,6.5,Book,2.233,6.4,25,4720371
tt3132714,Marie's Story, Noémie Churlet,Biography,France,French,Film Movements,NOT RATED,95,2014,7.5,Screenplay,3.941,7.4,44,11720
tt0102494,My Own Private Idaho, William Richert,Drama,USA,"English,Italian,German",Fine Line Features,R,104,1991,7.1,Screenplay,29.455,7.1,425,6401336
tt2980516,The Theory of Everything, Sophie Perry,Biography,"UK,Japan,USA","English,French",Focus Features,PG-13,123,2014,7.7,Screenplay,13.671,7.9,6320,123726688
tt0241025,Vanity Fair, Ruth Sheen,Drama,"USA,UK,India","English,French,German",Focus Features,PG-13,141,2004,6.2,Screenplay,9.685,5.7,158,16123851
tt3416532,A Monster Calls, Toby Kebbell,Animation,"UK,Spain,USA",English,Focus Features,PG-13,108,2016,7.5,Screenplay,9.368,7.1,1878,47309313
tt1814621,Admission, Dan Levy,Comedy,USA,English,Focus Features,PG-13,107,2013,5.7,Screenplay,7.14,5.5,381,18000000
tt0810819,The Danish Girl, Adrian Schiller,Biography,"UK,USA,Germany,Belgium","English,French,German",Focus Features,R,119,2015,7.1,Book,10.645,7.6,3592,64191523
tt0783233,Atonement, Julia West,Drama,"UK,France,USA","English,French",Focus Features,R,123,2007,7.8,Novel,15.683,7.6,1967,129266061
tt1440728,The American, Björn Granath,Crime,"USA,UK","English,Italian",Focus Features,R,105,2010,6.3,Screenplay,10.563,5.8,683,65464324
tt0796368,Talk to Me, Mike Epps,Biography,USA,English,Focus Features,R,118,2007,7.4,Screenplay,4.291,7,59,4778376
tt0456020,Waist Deep, Johnny C. Pruitt,Action,USA,English,Focus Features,R,97,2006,5.9,Screenplay,6.984,6.3,85,21353303
tt0253474,The Pianist, Ed Stoppard,Biography,"France,Germany,UK,USA","English,German,French",Focus Features,R,150,2002,8.5,Screenplay,12.832,8.3,3891,120072577
tt1340800,Tinker Tailor Soldier Spy, Péter Kálloy Molnár,Drama,"France,UK,Germany","English,German,French",Focus Features,R,122,2011,7.1,Screenplay,12.036,6.7,1384,80630608
tt2406566,Atomic Blonde, John Goodman,Action,"Germany,USA","English,German",Focus Features,R,115,2017,6.7,Screenplay,19.398,6.3,3577,95673925
tt0094890,Cocoon: The Return, Hume Cronyn,Adventure,USA,English,Fox,PG,116,1988,5.3,characters,8.246,5.5,154,25024919
tt0082484,Quest for Fire, Rae Dawn Chong,Adventure,"Canada,France","English,French",Fox,R,100,1981,7.4,Screenplay,7.03,7.1,209,55260558
tt1723811,Shame, James Badge Dale,Drama,UK,English,Fox Searchlight,NC-17,101,2011,7.2,Adaptation,13.896,7,1576,17693675
tt1188996,My Name Is Khan, Kenton Duty,Drama,India,"Hindi,English",Fox Searchlight,PG-13,165,2010,8,Screenplay,6.383,7.9,399,42345360
tt1781058,Wilson, James Robert Miller,Comedy,USA,English,Fox Searchlight,R,94,2017,5.8,Novel,7.928,5.8,194,653951
tt0427944,Thank You for Smoking, Mary Jo Smith,Comedy,USA,English,Fox Searchlight,R,92,2005,7.6,Screenplay,10.673,7.2,1106,24793509
tt1129445,Amelia, Christopher Eccleston,Adventure,"USA,Canada",English,Fox Searchlight Pictures,PG,111,2009,5.8,Book,5.955,5.6,109,19258519
tt1172233,Whip It, Mary Callaghan Lynch,Drama,USA,English,Fox Searchlight Pictures,PG-13,111,2009,6.9,Screenplay,7.262,6.7,607,16633035
tt4411596,My Cousin Rachel, Iain Glen,Drama,"UK,USA","English,Italian",Fox Searchlight Pictures,PG-13,106,2017,6,Screenplay,10.079,5.5,327,9200168
tt1334260,Never Let Me Go, Charlie Rowe,Drama,"UK,USA",English,Fox Searchlight Pictures,R,103,2010,7.2,Novel,9.93,6.8,1270,9455232
tt0354766,Never Die Alone, Antwon Tanner,Action,USA,English,Fox Searchlight Pictures,R,88,2004,5.7,Novel,3.409,5.6,58,5923000
tt1033575,The Descendants, Nick Krause,Comedy,USA,English,Fox Searchlight Pictures,R,115,2011,7.3,Screenplay,13.796,6.8,1504,177243185
tt0970411,City of Ember, Mary Kay Place,Adventure,USA,English,Fox Walden,PG,90,2008,6.5,Screenplay,11.362,6.2,949,17869048
tt1754811,InAPPropriate Comedy, Adrien Brody,Comedy,USA,English,Freestyle Releasing,R,83,2013,2.9,Adaptation,4.072,3,48,228
tt1220628,I Hope They Serve Beer in Hell, Yvette Yates,Comedy,USA,English,Freestyle Releasing,R,105,2009,5.3,Novel,3.946,4.9,35,1429299
tt2576852,The Tale of the Princess Kaguya, Darren Criss,Animation,Japan,Japanese,GKIDS,PG,137,2013,8.1,story,9.475,8.1,646,24186232
tt0114663,Three Wishes, Seth Mumy,Drama,USA,English,HBO Video,PG,115,1995,6.2,story,2.312,6.2,33,7025496
tt0090685,Back to School, Keith Gordon,Comedy,USA,English,HBO Video,PG-13,96,1986,6.6,story,8.025,6.3,185,91258000
tt0912597,Death Note: L Change the World, Tatsuya Fujiwara,Crime,Japan,"Japanese,English",Horipro,NOT RATED,129,2008,6.2,story ,8.639,6,108,30231200
tt1720182,October Baby, Jennifer Price,Drama,USA,English,IDP/Samuel goldwyn Films,PG-13,107,2011,6.8,story,3.456,6.8,55,5355847
tt0862467,Valhalla Rising, Maarten Stevenson,Adventure,UK,English,IFC Films,NOT RATED,93,2009,6,Adaptation,11.622,6,567,30638
tt3577624,A Perfect Day, Mélanie Thierry,Comedy,Spain,"English,Spanish,French",IFC Films,R,106,2015,6.8,adaptation,6.288,6.6,323,1702433
tt1032825,Love and Other Impossible Pursuits, Charlie Tahan,Drama,USA,English,IFC Films,R,102,2009,6.4,Screenplay,6.61,6.2,218,102000000
tt2083231,Java Heat, Verdi Solaiman,Action,USA,English,IFC Films,R,104,2013,5.2,Screenplay,2.93,5.3,44,1061
tt1123373,Detective Dee: Mystery of the Phantom Flame, Bingbing Li,Action,China,"Mandarin,Spanish",Indomina Media,PG-13,119,2010,6.6,Screenplay,9.749,6.7,174,51723285
tt5247022,Paterson, Rizwan Manji,Comedy,"USA,France,Germany","English,Italian",K5 International,R,118,2016,7.4,Poem,10.793,7,713,2152738
tt3531824,Nerve, Miles Heizer,Action,USA,English,Keep Your Head,PG-13,96,2016,6.6,Screenplay,13.534,7.1,4520,85241496
tt3544112,Sing Street, Jack Reynor,Comedy,"UK,USA","English,French",Likely Story,PG-13,106,2016,8,story,9.931,8,1185,13624522
tt4193394,Indignation, Logan Lerman,Drama,"USA,China","English,Chinese",Likely Story,R,110,2016,6.8,Novel,7.836,6.5,152,3924527
tt3045616,Mortdecai, Ewan McGregor,Action,"UK,USA",English,Liongate Films,R,107,2015,5.5,Screenplay,11.339,5.4,1640,30418560
tt0118789,Buffalo '66, Mickey Rourke,Comedy,"USA,Canada",English,Lions Gate,R,110,1998,7.5,Original story ,27.5,7.2,336,2375097
tt2609758,A Madea Christmas, Eric Lively,Comedy,USA,English,Lionsgate,PG-13,100,2013,4.9,Screenplay,3.068,6.3,61,53396354
tt1132626,Saw V, Betsy Russell,Horror,"USA,Canada",English,Lionsgate,R,92,2008,5.8,Screenplay,13.213,6.1,1675,113857533
tt1961175,American Assassin, Chris Webster,Action,USA,English,Lionsgate and CBS Films,R,112,2017,6.2,Screenplay,13.803,6.3,1572,66167951
tt0109506,The Crow, Michael Wincott,Action,USA,English,LionsGate Entertainment,R,102,1994,7.6,Comic,12.974,7.4,1770,94000000
tt2215285,Madea's Witness Protection, Doris Roberts,Comedy,USA,English,Lionsgate Films,PG-13,114,2012,4.9,characters,6.561,5.6,81,66899242
tt1129442,Transporter 3, Robert Knepper,Action,"France,USA","English,French",Lionsgate Films,PG-13,104,2008,6.1,characters,18.154,6,1744,108979549
tt1588173,Warm Bodies, Rob Corddry,Comedy,"USA,Canada",English,Lionsgate Films,PG-13,98,2013,6.9,Novel,11.183,6.3,4048,116980662
tt1418377,"I, Frankenstein", Bill Nighy,Action,"USA,Australia",English,Lionsgate Films,PG-13,92,2014,5.1,Screenplay,9.852,5.2,1075,71154592
tt0935075,Rabbit Hole, Miles Teller,Drama,USA,English,Lionsgate Films,PG-13,91,2010,7,Screenplay,24.245,6.8,287,5129058
tt1649419,The Impossible, Samuel Joslin,Drama,"Spain,USA","English,Spanish",Lionsgate Films,PG-13,114,2012,7.6,story,12.078,7.2,3552,180274123
tt1343727,Dredd, Porteus Xandau,Action,"UK,USA,India",English,Lionsgate Films,R,95,2012,7.1,characters,13.84,6.7,2762,41037742
tt0452625,Good Luck Chuck, Sasha Pieterse,Comedy,"USA,Canada",English,Lionsgate Films,R,96,2007,5.6,Screenplay,8.003,5.7,713,59192128
tt0929632,Precious, Mariah Carey,Drama,USA,"English,Italian",Lionsgate Films,R,110,2009,7.3,Screenplay,8.739,7.2,745,47536959
tt1931435,The Big Wedding, Amanda Seyfried,Comedy,USA,"English,Spanish,Chinese",Lionsgate Films,R,89,2013,5.6,Screenplay,11.838,5.8,672,21819348
tt0443473,The Condemned, Tory Mussett,Action,USA,"English,Spanish,German",Lionsgate Films,R,113,2007,6.1,Screenplay,22.911,5.9,335,8642858
tt1840309,Divergent, Jai Courtney,Adventure,USA,"English,Spanish",Lionsgate Films/Summit Entertainment,PG-13,139,2014,6.7,Screenplay,16.118,6.9,8153,288747895
tt3605418,Knock Knock, Aaron Burns,Drama,USA,"English,Spanish",Lionsgate Premiere,R,99,2015,4.9,Screenplay,9.932,5,1437,6341684
tt0095274,A Handful of Dust, Jackson Kyle,Drama,UK,English,London Weekend Television,PG,118,1988,6.8,Novel,1.89,6.1,12,1561000
tt0093051,From the Hip, Darren McGavin,Comedy,USA,English,Lorimar Home Video,PG,111,1987,6.2,Screenplay,2.915,5.9,20,9518342
tt1131724,2:22, Maeve Dermody,Thriller,"Australia,USA",English,Magnolia Pictures,PG-13,98,2017,5.7,Screenplay,11.018,5.8,793,3500000
tt1456635,Goon, Liev Schreiber,Comedy,"USA,Canada","English,French",Magnolia Pictures,R,92,2011,6.8,Book,7.918,6.5,481,6483963
